12.6,7.9559,10.231,9.5841,7.3513,10.62,6.909,9.1215,37.396
5.6048,10.439,9.8331,7.4558,8.6589,14.224,10.274,11.73,42.834
13.882,14.584,4.201,10.643,9.4167,12.025,10.396,11.555,137.89
5.4237,10.621,8.4216,4.5799,9.7707,5.7378,10.247,7.7449,145.03
6.5926,10.28,10.111,8.6595,14.482,10.636,6.8237,6.0215,122.34
7.9577,12.656,8.3136,11.303,9.1035,12.21,8.9843,8.9977,83.391
8.9115,10.654,11.941,11.608,9.1781,7.9905,7.9914,7.3911,96.643
9.8221,8.3472,10.015,9.8968,6.0962,9.6038,9.0365,9.5806,46.308
6.1627,13.738,11.242,7.6731,8.6889,10.478,8.6187,6.5176,84.297
7.9634,9.0444,6.9832,7.2654,3.0456,13.013,8.0304,11.443,-10.975
7.5398,12.657,8.4809,8.9477,6.9093,10.82,6.5299,7.238,59.868
12.067,11.268,8.7826,7.1028,6.9003,10.194,12.681,11.173,91.388
10.102,7.6954,10.315,8.0159,8.6266,6.0892,10.744,6.0805,103.71
9.9031,7.709,7.2066,3.9298,7.0392,11.67,11.637,8.9358,49.412
8.7898,6.3318,13.783,8.3417,8.5431,10.698,10.73,9.3286,34.192
12.733,7.9553,10.259,9.7295,7.7481,8.1063,7.811,8.7875,74.174
10.132,12.053,12.31,8.9958,8.7243,5.0546,9.7525,11.918,151
9.2858,8.0106,8.4845,5.735,5.4708,10.526,13.085,9.7191,44.614
9.5023,10.276,14.516,7.3719,7.9502,9.6728,10.129,9.7289,63.124
6.5282,9.9717,7.3012,8.4691,8.6093,8.1346,6.7786,11.488,106.32
10.315,14.677,6.1765,11.914,10.936,13.414,7.7564,7.8232,110.81
7.7965,12.301,11.524,7.8875,9.1309,10.264,5.6044,10.101,79.825
10.591,7.297,12.312,8.8178,9.4997,13.235,12.234,11.668,44.202
5.601,5.9585,9.4835,7.0309,11.802,11.397,9.957,3.1381,57.818
11.801,9.1937,9.6167,9.5616,15.721,6.9674,4.3526,10.013,179.67
8.6042,8.4748,6.7133,11.118,6.082,12.397,14.194,10.741,46.82
11.014,7.4235,11.685,11.065,11.497,17.32,9.922,10.479,13.574
7.455,13,5.8218,8.2207,3.8832,8.7797,6.5601,6.0395,58.421
8.5174,8.4187,7.8632,6.5401,12.077,7.2718,8.463,11.242,149.38
10.999,8.6529,11.203,10.218,9.7466,5.1874,11.675,7.3821,138.86
9.5368,9.13,5.4554,8.6171,4.0337,7.5304,9.052,6.9148,63.418
13.348,8.9033,9.6794,7.2234,4.8877,8.6853,12.926,9.585,62.502
9.5002,9.2896,8.7023,9.0788,9.877,15.611,12.385,4.3025,28.397
